YIL;GSYARGE;MYBARGE;GSYH;IHRCT;ITHLT
1996;66709069;;;1907001834;3559029759
1997;141781665;;;4039401624;7419624416
1998;260422137;;71944699612;7032148731;11898371328
1999;489162882;;107374257950;11211265206;17185041882
2000;798437970;;171494210046;17347694857;34227081874
2001;1291891387;;247266207479;38770187935;50550213196
2002;1843288038;;362109647626;54621624134;78389702304
2003;2197090032;;472171775307;70369503260;103424769215
2004;2897516250;;582852798817;90327455811;139676715228
2005;3835441076;;680275847307;99039094220;157380960959
2006;4399880662;;795757108825;123341871421;201077837705
2007;6091178492;;887714413790;139340197147;221028769269
2008;6893048199;2670782540;1002756496348;170513069615;258691206786
2009;8087452600;3916776991;1006372481605;158481951496;217677724820
2010;9267589617;4188287268;1167664479155;171343212758;278668205580
2011;11154149797;4960647288;1404927614908;227011121898;403813480048
2012;13062263394;5304618213;1581479250872;274565015882;426229492948
2013;14807321926;6853307873;1823427315107;289750378363;479228041284
2014;17598117442;6732520879;2054897827653;345293745695;529625047481
2015;20615247954;8036509879;2350941343285;391461317800;562315556543
2016;24641251935;9115985990;2626559709633;431604624089;600526342153
2017;29855477805;10710207817;3133704267365;573858078628;852983356042
2018;38533672884;13024439520;3758773726620;814434188363;1052812218945
2019;45953691096;14923684491;4317786909003;974837156779;1151201581487
2020;54956827217;14331140195;5046883306932;1135620475648;1474722279085
2021;;18338784376;;1919320388558;2340777217246
